Dataset,Preprocessing,Time,Size,Certificate
aa41,2,35.2,40,"['10', '11', '13', '14', '15', '18', '2', '23', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '8', '83', '86', '87']"
aa41,0,108.0,40,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '20', '29', '30', '36', '41', '44', '45', '46', '47', '48', '49', '50', '51', '53', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,1,102.1,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,2,38.8,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,0,54.2,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '8', '83', '86', '87']"
aa41,1,52.0,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,2,38.8,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,0,54.5,40,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '23', '28', '29', '30', '41', '44', '45', '46', '47', '48', '49', '50', '51', '53', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,1,58.9,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '8', '83', '86', '87']"
aa41,2,38.7,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,0,120,48,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '20', '21', '23', '29', '30', '31', '33', '41', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '76', '79', '8', '86', '87', '91', '92', '93', '94', '95', '96', '97', '98', '99']"
aa41,1,116.3,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,2,38.9,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa42,0,1.7,30,"['1', '10', '11', '16', '18', '20', '24', '25', '32', '33', '38', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,1,1.6,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.3,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,0,3.6,30,"['1', '10', '11', '16', '18', '20', '23', '24', '25', '32', '33', '36', '38', '44', '47', '5', '56', '58', '59', '61', '65', '66', '69', '74', '75', '78', '79', '80', '81', '85']"
aa42,1,3.1,30,"['1', '10', '11', '16', '18', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '84', '85']"
aa42,2,2.6,30,"['1', '10', '11', '16', '18', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '84', '85']"
aa42,0,3.4,30,"['1', '10', '16', '18', '20', '22', '28', '31', '32', '33', '35', '47', '49', '5', '50', '58', '59', '61', '65', '66', '69', '71', '74', '75', '78', '79', '80', '81', '84', '85']"
aa42,1,2.2,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.3,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,0,4.2,30,"['1', '10', '11', '16', '162', '18', '24', '28', '32', '33', '35', '47', '49', '5', '50', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '84', '85']"
aa42,1,1.9,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.2,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,0,1.5,30,"['1', '10', '16', '18', '20', '22', '28', '31', '33', '35', '47', '49', '5', '50', '58', '59', '61', '63', '65', '66', '69', '71', '74', '75', '78', '79', '80', '81', '84', '85']"
aa42,1,1.7,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.2,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,0,9.3,30,"['1', '10', '16', '18', '20', '22', '28', '31', '33', '35', '47', '49', '5', '50', '58', '59', '61', '65', '66', '69', '71', '74', '75', '78', '79', '80', '81', '84', '85', '86']"
aa42,1,2.7,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.2,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,0,2.5,30,"['1', '10', '11', '16', '18', '20', '23', '24', '25', '32', '33', '36', '38', '44', '47', '5', '56', '58', '59', '61', '65', '66', '69', '74', '75', '78', '79', '80', '81', '85']"
aa42,1,2.1,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.3,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,0,7.1,30,"['1', '10', '11', '16', '18', '24', '28', '32', '33', '35', '38', '47', '49', '5', '50', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '84', '85']"
aa42,1,2.5,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.2,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,0,1.7,30,"['1', '10', '11', '16', '18', '24', '28', '32', '33', '38', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '84', '85']"
aa42,1,2.2,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.2,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,0,3.6,30,"['1', '10', '16', '18', '20', '22', '28', '31', '32', '33', '35', '47', '49', '5', '50', '58', '59', '61', '65', '66', '69', '71', '74', '75', '78', '79', '80', '81', '84', '85']"
aa42,1,1.8,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa42,2,1.3,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa43,0,0.0,19,"['10', '13', '14', '16', '17', '20', '21', '22', '25', '27', '28', '31', '32', '35', '36', '38', '4', '7', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,18,"['1', '10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,18,"['10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '6', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,18,"['1', '10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,18,"['1', '10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,18,"['1', '10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,18,"['10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '6', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,18,"['1', '10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,18,"['1', '10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,0,0.0,19,"['10', '13', '14', '16', '17', '2', '20', '21', '22', '25', '28', '31', '32', '36', '38', '4', '5', '7', '8']"
aa43,1,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa43,2,0.3,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa45,0,0.1,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '29', '3', '33', '34', '35', '36', '37', '38', '4', '42', '6']"
aa45,1,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,2,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,0,0.0,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '30', '33', '35', '36', '38', '4', '42', '6']"
aa45,1,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,2,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,0,0.2,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,1,0.4,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,2,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,0,0.1,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '29', '3', '33', '34', '35', '36', '37', '38', '4', '42', '6']"
aa45,1,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,2,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,0,0.1,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '29', '3', '33', '34', '35', '36', '37', '38', '4', '42', '6']"
aa45,1,0.4,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,2,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,0,0.1,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '29', '3', '33', '34', '35', '36', '37', '38', '4', '42', '6']"
aa45,1,0.4,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,2,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,0,0.0,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '29', '3', '30', '33', '34', '35', '36', '38', '4', '42', '6']"
aa45,1,0.4,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,2,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,0,0.0,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,1,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,2,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,0,0.0,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '30', '33', '35', '36', '38', '4', '42', '6']"
aa45,1,0.3,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
