dataset,vertices,edges
aa10-ba-10.edgelist,69,198
aa10-ba-11.edgelist,69,198
aa10-ba-12.edgelist,69,198
aa10-ba-13.edgelist,69,198
aa10-ba-14.edgelist,69,198
aa10-cl-10.edgelist,69,205
aa10-cl-11.edgelist,69,189
aa10-cl-12.edgelist,69,178
aa10-cl-13.edgelist,69,187
aa10-cl-14.edgelist,69,186
aa10-er-10.edgelist,69,202
aa10-er-11.edgelist,69,186
aa10-er-12.edgelist,69,166
aa10-er-13.edgelist,69,176
aa10-er-14.edgelist,69,195
aa10-to-10.edgelist,69,111
aa10-to-11.edgelist,69,110
aa10-to-12.edgelist,69,97
aa10-to-13.edgelist,69,109
aa10-to-14.edgelist,69,116
aa11-ba-10.edgelist,103,300
aa11-ba-11.edgelist,103,300
aa11-ba-12.edgelist,103,300
aa11-ba-13.edgelist,103,300
aa11-ba-14.edgelist,103,300
aa11-cl-10.edgelist,103,291
aa11-cl-11.edgelist,103,309
aa11-cl-12.edgelist,103,319
aa11-cl-13.edgelist,103,290
aa11-cl-14.edgelist,103,301
aa11-er-10.edgelist,103,296
aa11-er-11.edgelist,103,302
aa11-er-12.edgelist,103,290
aa11-er-13.edgelist,103,327
aa11-er-14.edgelist,103,293
aa11-to-10.edgelist,103,189
aa11-to-11.edgelist,103,179
aa11-to-12.edgelist,103,179
aa11-to-13.edgelist,103,189
aa11-to-14.edgelist,103,176
aa13-ba-10.edgelist,131,384
aa13-ba-11.edgelist,131,384
aa13-ba-12.edgelist,131,384
aa13-ba-13.edgelist,131,384
aa13-ba-14.edgelist,131,384
aa13-cl-10.edgelist,131,394
aa13-cl-11.edgelist,131,384
aa13-cl-12.edgelist,131,391
aa13-cl-13.edgelist,131,387
aa13-cl-14.edgelist,131,351
aa13-er-10.edgelist,131,358
aa13-er-11.edgelist,131,369
aa13-er-12.edgelist,131,353
aa13-er-13.edgelist,131,383
aa13-er-14.edgelist,131,373
aa13-to-10.edgelist,131,213
aa13-to-11.edgelist,131,224
aa13-to-12.edgelist,131,212
aa13-to-13.edgelist,131,226
aa13-to-14.edgelist,131,204
aa14-ba-10.edgelist,127,610
aa14-ba-11.edgelist,127,610
aa14-ba-12.edgelist,127,610
aa14-ba-13.edgelist,127,610
aa14-ba-14.edgelist,127,610
aa14-cl-10.edgelist,127,515
aa14-cl-11.edgelist,127,541
aa14-cl-12.edgelist,127,522
aa14-cl-13.edgelist,127,512
aa14-cl-14.edgelist,127,535
aa14-er-10.edgelist,127,525
aa14-er-11.edgelist,127,530
aa14-er-12.edgelist,127,499
aa14-er-13.edgelist,127,529
aa14-er-14.edgelist,127,502
aa14-to-10.edgelist,127,332
aa14-to-11.edgelist,127,322
aa14-to-12.edgelist,127,301
aa14-to-13.edgelist,127,334
aa14-to-14.edgelist,127,333
aa15-ba-10.edgelist,67,192
aa15-ba-11.edgelist,67,192
aa15-ba-12.edgelist,67,192
aa15-ba-13.edgelist,67,192
aa15-ba-14.edgelist,67,192
aa15-cl-10.edgelist,67,173
aa15-cl-11.edgelist,67,183
aa15-cl-12.edgelist,67,182
aa15-cl-13.edgelist,67,172
aa15-cl-14.edgelist,67,180
aa15-er-10.edgelist,67,190
aa15-er-11.edgelist,67,175
aa15-er-12.edgelist,67,156
aa15-er-13.edgelist,67,162
aa15-er-14.edgelist,67,184
aa15-to-10.edgelist,67,113
aa15-to-11.edgelist,67,105
aa15-to-12.edgelist,67,97
aa15-to-13.edgelist,67,95
aa15-to-14.edgelist,67,108
aa16-ba-10.edgelist,14,24
aa16-ba-11.edgelist,14,24
aa16-ba-12.edgelist,14,24
aa16-ba-13.edgelist,14,24
aa16-ba-14.edgelist,14,24
aa16-cl-10.edgelist,14,13
aa16-cl-11.edgelist,14,9
aa16-cl-12.edgelist,14,16
aa16-cl-13.edgelist,14,11
aa16-cl-14.edgelist,14,15
aa16-er-10.edgelist,14,16
aa16-er-11.edgelist,14,17
aa16-er-12.edgelist,14,20
aa16-er-13.edgelist,14,13
aa16-er-14.edgelist,14,17
aa16-to-10.edgelist,14,9
aa16-to-11.edgelist,14,6
aa16-to-12.edgelist,14,7
aa16-to-13.edgelist,14,6
aa16-to-14.edgelist,14,10
aa17-ba-10.edgelist,153,740
aa17-ba-11.edgelist,153,740
aa17-ba-12.edgelist,153,740
aa17-ba-13.edgelist,153,740
aa17-ba-14.edgelist,153,740
aa17-cl-10.edgelist,153,613
aa17-cl-11.edgelist,153,623
aa17-cl-12.edgelist,153,644
aa17-cl-13.edgelist,153,610
aa17-cl-14.edgelist,153,588
aa17-er-10.edgelist,153,663
aa17-er-11.edgelist,153,642
aa17-er-12.edgelist,153,604
aa17-er-13.edgelist,153,627
aa17-er-14.edgelist,153,599
aa17-to-10.edgelist,153,414
aa17-to-11.edgelist,153,402
aa17-to-12.edgelist,153,394
aa17-to-13.edgelist,153,425
aa17-to-14.edgelist,153,398
aa18-ba-10.edgelist,90,425
aa18-ba-11.edgelist,90,425
aa18-ba-12.edgelist,90,425
aa18-ba-13.edgelist,90,425
aa18-ba-14.edgelist,90,425
aa18-cl-10.edgelist,90,393
aa18-cl-11.edgelist,90,366
aa18-cl-12.edgelist,90,393
aa18-cl-13.edgelist,90,364
aa18-cl-14.edgelist,90,370
aa18-er-10.edgelist,90,367
aa18-er-11.edgelist,90,393
aa18-er-12.edgelist,90,365
aa18-er-13.edgelist,90,365
aa18-er-14.edgelist,90,371
aa18-to-10.edgelist,90,241
aa18-to-11.edgelist,90,261
aa18-to-12.edgelist,90,226
aa18-to-13.edgelist,90,234
aa18-to-14.edgelist,90,234
aa19-ba-10.edgelist,192,752
aa19-ba-11.edgelist,192,752
aa19-ba-12.edgelist,192,752
aa19-ba-13.edgelist,192,752
aa19-ba-14.edgelist,192,752
aa19-cl-10.edgelist,192,655
aa19-cl-11.edgelist,192,655
aa19-cl-12.edgelist,192,636
aa19-cl-13.edgelist,192,657
aa19-cl-14.edgelist,192,602
aa19-er-10.edgelist,192,624
aa19-er-11.edgelist,192,649
aa19-er-12.edgelist,192,643
aa19-er-13.edgelist,192,635
aa19-er-14.edgelist,192,629
aa19-to-10.edgelist,192,370
aa19-to-11.edgelist,192,384
aa19-to-12.edgelist,192,374
aa19-to-13.edgelist,192,367
aa19-to-14.edgelist,192,380
aa20-ba-10.edgelist,225,884
aa20-ba-11.edgelist,225,884
aa20-ba-12.edgelist,225,884
aa20-ba-13.edgelist,225,884
aa20-ba-14.edgelist,225,884
aa20-cl-10.edgelist,225,770
aa20-cl-11.edgelist,225,775
aa20-cl-12.edgelist,225,721
aa20-cl-13.edgelist,225,784
aa20-cl-14.edgelist,225,781
aa20-er-10.edgelist,225,790
aa20-er-11.edgelist,225,781
aa20-er-12.edgelist,225,744
aa20-er-13.edgelist,225,772
aa20-er-14.edgelist,225,754
aa20-to-10.edgelist,225,442
aa20-to-11.edgelist,225,447
aa20-to-12.edgelist,225,453
aa20-to-13.edgelist,225,433
aa20-to-14.edgelist,225,440
aa21-ba-10.edgelist,31,84
aa21-ba-11.edgelist,31,84
aa21-ba-12.edgelist,31,84
aa21-ba-13.edgelist,31,84
aa21-ba-14.edgelist,31,84
aa21-cl-10.edgelist,31,89
aa21-cl-11.edgelist,31,71
aa21-cl-12.edgelist,31,86
aa21-cl-13.edgelist,31,79
aa21-cl-14.edgelist,31,79
aa21-er-10.edgelist,31,94
aa21-er-11.edgelist,31,90
aa21-er-12.edgelist,31,79
aa21-er-13.edgelist,31,92
aa21-er-14.edgelist,31,80
aa21-to-10.edgelist,31,67
aa21-to-11.edgelist,31,67
aa21-to-12.edgelist,31,55
aa21-to-13.edgelist,31,70
aa21-to-14.edgelist,31,56
aa22-ba-10.edgelist,167,652
aa22-ba-11.edgelist,167,652
aa22-ba-12.edgelist,167,652
aa22-ba-13.edgelist,167,652
aa22-ba-14.edgelist,167,652
aa22-cl-10.edgelist,167,650
aa22-cl-11.edgelist,167,652
aa22-cl-12.edgelist,167,648
aa22-cl-13.edgelist,167,651
aa22-cl-14.edgelist,167,624
aa22-er-10.edgelist,167,647
aa22-er-11.edgelist,167,674
aa22-er-12.edgelist,167,616
aa22-er-13.edgelist,167,630
aa22-er-14.edgelist,167,614
aa22-to-10.edgelist,167,370
aa22-to-11.edgelist,167,369
aa22-to-12.edgelist,167,351
aa22-to-13.edgelist,167,360
aa22-to-14.edgelist,167,353
aa23-ba-10.edgelist,143,556
aa23-ba-11.edgelist,143,556
aa23-ba-12.edgelist,143,556
aa23-ba-13.edgelist,143,556
aa23-ba-14.edgelist,143,556
aa23-cl-10.edgelist,143,518
aa23-cl-11.edgelist,143,502
aa23-cl-12.edgelist,143,518
aa23-cl-13.edgelist,143,492
aa23-cl-14.edgelist,143,498
aa23-er-10.edgelist,143,501
aa23-er-11.edgelist,143,517
aa23-er-12.edgelist,143,472
aa23-er-13.edgelist,143,501
aa23-er-14.edgelist,143,488
aa23-to-10.edgelist,143,310
aa23-to-11.edgelist,143,321
aa23-to-12.edgelist,143,281
aa23-to-13.edgelist,143,309
aa23-to-14.edgelist,143,292
aa24-ba-10.edgelist,261,1280
aa24-ba-11.edgelist,261,1280
aa24-ba-12.edgelist,261,1280
aa24-ba-13.edgelist,261,1280
aa24-ba-14.edgelist,261,1280
aa24-cl-10.edgelist,261,1081
aa24-cl-11.edgelist,261,1117
aa24-cl-12.edgelist,261,1116
aa24-cl-13.edgelist,261,1105
aa24-cl-14.edgelist,261,1023
aa24-er-10.edgelist,261,1101
aa24-er-11.edgelist,261,1132
aa24-er-12.edgelist,261,1094
aa24-er-13.edgelist,261,1112
aa24-er-14.edgelist,261,1090
aa24-to-10.edgelist,261,629
aa24-to-11.edgelist,261,656
aa24-to-12.edgelist,261,628
aa24-to-13.edgelist,261,624
aa24-to-14.edgelist,261,630
aa25-ba-10.edgelist,15,14
aa25-ba-11.edgelist,15,14
aa25-ba-12.edgelist,15,14
aa25-ba-13.edgelist,15,14
aa25-ba-14.edgelist,15,14
aa25-cl-10.edgelist,15,11
aa25-cl-11.edgelist,15,12
aa25-cl-12.edgelist,15,15
aa25-cl-13.edgelist,15,14
aa25-cl-14.edgelist,15,9
aa25-er-10.edgelist,15,16
aa25-er-11.edgelist,15,18
aa25-er-12.edgelist,15,20
aa25-er-13.edgelist,15,15
aa25-er-14.edgelist,15,16
aa25-to-10.edgelist,15,8
aa25-to-11.edgelist,15,12
aa25-to-12.edgelist,15,9
aa25-to-13.edgelist,15,10
aa25-to-14.edgelist,15,8
aa26-ba-10.edgelist,95,276
aa26-ba-11.edgelist,95,276
aa26-ba-12.edgelist,95,276
aa26-ba-13.edgelist,95,276
aa26-ba-14.edgelist,95,276
aa26-cl-10.edgelist,95,267
aa26-cl-11.edgelist,95,292
aa26-cl-12.edgelist,95,271
aa26-cl-13.edgelist,95,282
aa26-cl-14.edgelist,95,259
aa26-er-10.edgelist,95,271
aa26-er-11.edgelist,95,287
aa26-er-12.edgelist,95,264
aa26-er-13.edgelist,95,292
aa26-er-14.edgelist,95,271
aa26-to-10.edgelist,95,169
aa26-to-11.edgelist,95,176
aa26-to-12.edgelist,95,159
aa26-to-13.edgelist,95,190
aa26-to-14.edgelist,95,179
aa27-ba-10.edgelist,120,351
aa27-ba-11.edgelist,120,351
aa27-ba-12.edgelist,120,351
aa27-ba-13.edgelist,120,351
aa27-ba-14.edgelist,120,351
aa27-cl-10.edgelist,120,350
aa27-cl-11.edgelist,120,321
aa27-cl-12.edgelist,120,327
aa27-cl-13.edgelist,120,307
aa27-cl-14.edgelist,120,345
aa27-er-10.edgelist,120,312
aa27-er-11.edgelist,120,333
aa27-er-12.edgelist,120,304
aa27-er-13.edgelist,120,330
aa27-er-14.edgelist,120,328
aa27-to-10.edgelist,120,184
aa27-to-11.edgelist,120,177
aa27-to-12.edgelist,120,174
aa27-to-13.edgelist,120,194
aa27-to-14.edgelist,120,201
aa28-ba-10.edgelist,167,966
aa28-ba-11.edgelist,167,966
aa28-ba-12.edgelist,167,966
aa28-ba-13.edgelist,167,966
aa28-ba-14.edgelist,167,966
aa28-cl-10.edgelist,167,852
aa28-cl-11.edgelist,167,841
aa28-cl-12.edgelist,167,799
aa28-cl-13.edgelist,167,840
aa28-cl-14.edgelist,167,832
